region,health_ratio,ratio_underage_partic,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes
Челябинская область,5.383333333333334,0.6835666666666667,0.3495999999999999,57.39525272745512,86.87694801341857,24228.5,8628.666666666666,4426.0,268.8333333333333,1031.1666666666667,64.2015,3429264,58932.2
Республика Алтай,3.45,0.6812666666666666,0.3753999999999999,56.31712949241726,83.48318381081904,2780.333333333333,1187.0,447.8333333333333,9.5,93.33333333333331,43.8955,210941,4351.4
Республика Тыва,9.816666666666666,1.05305,0.3737999999999999,60.49786899491372,92.71494242405196,3896.3333333333335,1799.5,626.3333333333334,11.666666666666666,251.5,30.582,334510,6314.2
Республика Хакасия,6.75,0.5746,0.3352,60.23658949654964,89.14980545467756,4445.0,1778.6666666666667,820.3333333333334,37.833333333333336,152.66666666666666,49.8325,533319,9488.0
Алтайский край,6.016666666666666,0.6959666666666666,0.376,57.54209400343227,89.59521570381995,16836.5,6828.666666666667,2638.0,44.16666666666666,717.8333333333334,48.6575,2166836,36055.8
Красноярский край,7.349999999999999,0.5870166666666666,0.3904,59.08304635975429,87.75958639898195,19433.666666666668,6829.5,3535.6666666666665,124.33333333333331,757.1666666666666,56.3615,2857518,46684.4
Иркутская область,5.8166666666666655,0.7637833333333334,0.368,61.665828533311696,85.3523918416593,17008.0,6559.0,3310.1666666666665,118.66666666666669,888.5,51.108,2363651,36904.0
Кемеровская область - Кузбасс,6.816666666666666,0.7640666666666666,0.3548,55.55622049,86.9579569,18621.0,7272.5,3549.6666666666665,91.16666666666669,954.1666666666666,52.3685,2597398,42257.2
Новосибирская область,4.1,0.6197666666666667,0.3844,59.60496966919989,87.49197258162106,12892.833333333334,3852.5,2166.6666666666665,233.0,711.1666666666666,63.746,2798757,42379.6
Омская область,9.6,0.2953333333333333,0.3802,59.511647684322114,90.0700365521893,9503.0,3172.5,1724.8333333333333,72.66666666666667,241.66666666666663,52.1205,1859042,22268.4
Томская область,6.633333333333334,0.4761999999999999,0.3567999999999999,65.27483833906649,88.0887750032397,7191.666666666667,2335.333333333333,1519.3333333333333,26.33333333333333,222.66666666666663,53.4745,1059433,18118.2
